Name,Image_URL,Price,URL
Kilele F1 Hybri...,https://farmpays.com/wp-content/uploads/2023/06/download-2023-06-26T143415.002.jpg,"₦19,500.00",https://farmpays.com/product/kilele-f1-hybrid-tomato-seeds/?attribute_size=1000+seeds
Kilele F1 Hybri...,https://farmpays.com/wp-content/uploads/2022/05/240cb98fce094ae0b2144e616f078f65_1602051057472-450x450.jpg,"₦6,499.00",https://farmpays.com/product/jolly-red-f1-beetroot-seeds/?attribute_size=20g
Kilele F1 Hybri...,https://farmpays.com/wp-content/uploads/2022/05/240cb98fce094ae0b2144e616f078f65_1602051057472-450x450.jpg,"₦16,450.00",https://farmpays.com/product/jolly-red-f1-beetroot-seeds/?attribute_size=100g
Jolly Red F1 Be...,https://farmpays.com/wp-content/uploads/2023/10/jollyred-450x450.jpeg,"₦10,750.00",https://farmpays.com/product/monalisa-f1-hybrid-cucumber-seeds/?attribute_seed=500
Jolly Red F1 Be...,https://farmpays.com/wp-content/uploads/2023/10/jollyred-450x450.jpeg,"₦15,000.00",https://farmpays.com/product/monalisa-f1-hybrid-cucumber-seeds/?attribute_seed=1000
Monalisa F1 Hyb...,https://farmpays.com/wp-content/uploads/2023/06/download-2023-06-27T151147.347.jpg,"₦15,999.00",https://farmpays.com/product/sugar-king-f1/?attribute_size=250
Monalisa F1 Hyb...,https://farmpays.com/wp-content/uploads/2023/06/download-2023-06-27T151147.347.jpg,"₦29,599.00",https://farmpays.com/product/sugar-king-f1/?attribute_size=500
Sugar king f1 -...,https://farmpays.com/wp-content/uploads/2023/10/sugarking-450x360.jpg,"₦54,999.00",https://farmpays.com/product/sugar-king-f1/?attribute_size=1000
Sugar king f1 -...,https://farmpays.com/wp-content/uploads/2023/10/sugarking-450x360.jpg,"₦16,873.75",https://farmpays.com/product/cocoboost-foliar-fertilizer-complex-candel/
Sugar king f1 -...,https://farmpays.com/wp-content/uploads/2023/10/sugarking-450x360.jpg,"₦19,000.00",https://farmpays.com/product/onion-red-coach-f1-seeds/
Cocoboost (Foli...,https://farmpays.com/wp-content/uploads/2023/08/9894842_img20190724wa0038_jpegb77bfa6b2c6bef286a349f6efd1b1039-1-450x450.jpg,"₦3,000.00",https://farmpays.com/product/curly-kale-vates-blue-250-seeds-2/
Onion Red Coach...,https://farmpays.com/wp-content/uploads/2023/07/download-9.jpg,"₦4,500.00",https://farmpays.com/product/akito-f1-cucumber-seeds/
Curly Kale Vate...,https://farmpays.com/wp-content/uploads/2023/06/WhatsApp-Image-2023-04-11-at-14.19.42-450x450.jpeg,"₦1,600.00",https://farmpays.com/product/neem-seedlings/
Akito F1 Cucumb...,https://farmpays.com/wp-content/uploads/2023/06/download-73.jpg,"₦7,481.25",https://farmpays.com/product/westland-organic-rooting-gel/
Neem Seedlings,https://farmpays.com/wp-content/uploads/2023/05/Neem-Plant-450x450.webp,"₦11,970.00",https://farmpays.com/product/westland-rooting-organic-powder/
Westland Organi...,https://farmpays.com/wp-content/uploads/2023/03/701-450x450.png,"₦655,000.00",https://farmpays.com/product/2-hp-mini-weeder-power-weeder/?attribute_hp=12HP
Westland Rootin...,https://farmpays.com/wp-content/uploads/2023/03/801-450x450.png,"₦115,500.00",https://farmpays.com/product/2-hp-mini-weeder-power-weeder/?attribute_hp=4HP
9 HP Power Till...,https://farmpays.com/wp-content/uploads/2020/12/power-weeder-500x500-1-450x450.jpg,"₦585,000.00",https://farmpays.com/product/2-hp-mini-weeder-power-weeder/?attribute_hp=9HP
9 HP Power Till...,https://farmpays.com/wp-content/uploads/2020/12/power-weeder-500x500-1-450x450.jpg,"₦3,500.00",https://farmpays.com/product/dominator-440ec-agricultural-insecticide/?attribute_size=250ml
9 HP Power Till...,https://farmpays.com/wp-content/uploads/2020/12/power-weeder-500x500-1-450x450.jpg,"₦13,499.00",https://farmpays.com/product/dominator-440ec-agricultural-insecticide/?attribute_size=1L
