Name,Image_URL,Price,URL
Karate Insecticide (5EC | Syngenta Brand),https://afrimash.com/wp-content/uploads/2020/11/karate-800x800.png,"₦2,300.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/daksh-dichlorvos-100-w-v-ec-250ml/
Platinum 701 F1 Tomato Seeds (East West Seed | 5g),https://afrimash.com/wp-content/uploads/2020/10/EAST-WEST-PLATINUM-TOMATO-5-GRS-768x1024.png,"₦2,950.00",https://afrimash.com/shop/livestock-section/veterinary-products-and-services/vet-medicine/marshal-insecticide-1-liter-bottles-2/
Champion (Organic Herbicide Booster | 1 Liter),https://afrimash.com/wp-content/uploads/2020/10/champion-1-800x800.jpg,"₦4,000.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/presto-sprayer-multi-purpose-hand-sprayer-and-mister/
Gobara Herbicide (Saro Brand | 1 Liter),https://afrimash.com/wp-content/uploads/2020/10/Gobara-1-800x800.jpg,"₦15,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/watering-can-plastic-14-liters-capacity/
Daksh | Dichlorvos 100% W/V EC | 250ml | 1L,https://afrimash.com/wp-content/uploads/2020/09/c8f8b1bb-1480-483b-9ad9-165ffc5e2f52-600x800.jpg,"₦11,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/haifa-bonus-foliar-fertilizer-npk-15833-1kg-sachet/
Marshal (Insecticide | 1 Liter Bottles),https://afrimash.com/wp-content/uploads/2019/04/marshal-lambda-cyhalothrin-1-685x1024.jpg,"₦10,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/king-humus-plus-organic-soil-conditioner-and-growth-stimulant-100g-sachets/
Presto Sprayer (Multi-Purpose Hand Sprayer and Mister),https://afrimash.com/wp-content/uploads/2020/09/5b420f99-ba0a-41fd-a267-75316e39dc76-800x800.jpg,"₦1,500.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/ultimax-plus-systemic-fungicide-50g-sachets/
Power Sprayer with 100m Hose – ASPERO,https://afrimash.com/wp-content/uploads/2020/09/gasoline-water-pump_11zon.jpeg,"₦24,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/irrigation-materials-and-accessories/farm-irrigation-equipment/irrigation-spray-tube-2-3-inches-diameter-100-150m-length/
Watering Can (Plastic | 12 Liters Capacity),https://afrimash.com/wp-content/uploads/2020/08/watering-can_11zon.jpg,"₦5,350.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/force-top-herbicide-pendimethalin-33%ec-1ltr/
Haifa Bonus Foliar Fertilizer (NPK 15:8:33 | 1kg Sachet),https://afrimash.com/wp-content/uploads/2020/08/haifa-bonus-1024x683.jpg,"₦8,099.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/livestock-poultry-equipment/poultry-equipment/plastic-water-tank-for-poultry-pen-battery-cage-25-litres/
