Name,Image_URL,Price,URL
Clemenson Spine...,https://farmpays.com/wp-content/uploads/2022/07/IMG-20201104-WA0014-450x450.jpg,"₦1,900.00",https://farmpays.com/product/cover-force-stimulator-5ml/
CocoForce Fungi...,https://farmpays.com/wp-content/uploads/2022/07/Cocoforce_11zon.png,"₦33,750.00",https://farmpays.com/product/npk-20-10-10-taki-agro/
Rice Force Gold...,https://farmpays.com/wp-content/uploads/2022/07/rice-force.jpg,"₦728,000.00",https://farmpays.com/product/velum-prime-agricultural-nematicide/
Tackle (Total S...,https://farmpays.com/wp-content/uploads/2022/07/tackle-450x450.jpg,"₦10,400.00",https://farmpays.com/product/nicolas-selective-herbicide/
Cover Force Sti...,https://farmpays.com/wp-content/uploads/2022/07/cover-force-768x1024-1-450x450.jpg,"₦12,000.00",https://farmpays.com/product/agrovert-2/
NPK 20 10 10 Ta...,https://farmpays.com/wp-content/uploads/2022/06/IMG-20220609-WA0004-450x450.jpg,"₦12,500.00",https://farmpays.com/product/agrovert-npk-114614/
Velum Prime Agr...,https://farmpays.com/wp-content/uploads/2022/06/velum-removebg-preview.png,"₦12,500.00",https://farmpays.com/product/agrovert-301010/
Nicolas Selecti...,https://farmpays.com/wp-content/uploads/2022/06/599e25fac17a4418a3cd075807c09e68_1600492001818-removebg-preview-433x450.png,"₦722,190.00",https://farmpays.com/product/gasoline-power-sprayer-160-liters-capacity/
Agrovert NPK 20...,https://farmpays.com/wp-content/uploads/2022/06/20-20-20-450x450.jpg,"₦7,500.00",https://farmpays.com/product/tropimech-tomato-seeds/
Agrovert NPK 11...,https://farmpays.com/wp-content/uploads/2022/06/IMG-20210914-WA0002-450x450.jpg,"₦2,858.90",https://farmpays.com/product/roma-savana-tomatoes-seed-10g-per-sachet/
Agrovert 30:10:...,https://farmpays.com/wp-content/uploads/2022/06/IMG-20210914-WA0001-450x450.jpg,"₦27,000.00",https://farmpays.com/product/tomato-rodeo-14-f1-50g/
Gasoline Power ...,https://farmpays.com/wp-content/uploads/2022/06/motorised-sprayer160l-600x600-removebg-preview-450x450.png,"₦78,150.00",https://farmpays.com/product/yara-liva-calcuim-nitrate-25kg/
Tropimech Tomat...,https://farmpays.com/wp-content/uploads/2022/05/tomato_tropimech-removebg-preview.png,"₦27,000.00",https://farmpays.com/product/commandant-f1-sweet-pepper-seeds/
Roma Savana Tom...,https://farmpays.com/wp-content/uploads/2022/05/98436cd3fdada72d8deff7ea8c90706c74c4dbeb-1-450x450.webp,"₦2,125.00",https://farmpays.com/product/sweed/
Tomato Rodeo 14...,https://farmpays.com/wp-content/uploads/2022/05/11zon_cropped-6_11zon-450x450.webp,"₦5,000.00",https://farmpays.com/product/poinsett-cucumber-seeds-100g/
Yara Liva Calcu...,https://farmpays.com/wp-content/uploads/2022/05/Yara-Calcuim-Nitrate-450x299.jpg,"₦15,000.00",https://farmpays.com/product/cucumber-hybrid-seeds-darina-f1-10g-25g/
Commandant F1 S...,https://farmpays.com/wp-content/uploads/2022/05/download__3_-removebg-preview.png,"₦12,500.00",https://farmpays.com/product/water-melon-hybrid-seeds/
Sweed (Biologic...,https://farmpays.com/wp-content/uploads/2022/05/SWEED-1-450x450.jpg,"₦15,000.00",https://farmpays.com/product/greytop-f1-hybrid-watermelon-seeds/
Poinsett Cucumb...,https://farmpays.com/wp-content/uploads/2022/05/Cucumber-Pointsett-767x1024-removebg-preview-432x450.png,"₦9,900.00",https://farmpays.com/product/bell-pepper-espartano-f1/
Cucumber Hybrid...,https://farmpays.com/wp-content/uploads/2022/05/Cucumber1-scaled-1-450x450.jpg,"₦9,248.75",https://farmpays.com/product/relambda-insecticide-2/
Water Melon Hyb...,https://farmpays.com/wp-content/uploads/2022/05/water-450x334.jpg,"₦4,000.00",https://farmpays.com/product/baronesa-rz-f1-watermelon-hybrid-seeds/
Greytop F1 Hybr...,https://farmpays.com/wp-content/uploads/2022/05/IMG-20200827-WA0005-1-450x450.jpg,"₦34,000.00",https://farmpays.com/product/primasta-potting-soil-70-ltr-40-ltr/
Bell Pepper Esp...,https://farmpays.com/wp-content/uploads/2022/05/Sakata-Sweet-Pepper-Espartano-F1-450x450.webp,"₦32,000.00",https://farmpays.com/product/platinum-701-f1-hybrid-tomato-seeds/
Relambda Insect...,https://farmpays.com/wp-content/uploads/2022/05/imgonline-com-ua-resize-hzTTmN7pDQxhTc-1-375x450.jpg,"₦5,000.00",https://farmpays.com/product/nodumax-legume-inoculant-100g-sachets/
Baronesa RZ F1 ...,https://farmpays.com/wp-content/uploads/2022/05/b8c0afc777534a93a75dda5b7f57782a-1-450x450.jpg,"₦3,125.00",https://farmpays.com/product/neem-cake-organic-manure/
Primasta Pottin...,https://farmpays.com/wp-content/uploads/2022/05/potting-soil-666x1024-1-450x450.jpeg,"₦1,200.00",https://farmpays.com/product/mango-seedling/
Platinum 701 F1...,https://farmpays.com/wp-content/uploads/2022/05/IMG_20210512_105000_762-removebg-preview-433x450.png,"₦44,373.75",https://farmpays.com/product/magnesium-sulphate-25kg-50kg/
NoduMax Legume ...,https://farmpays.com/wp-content/uploads/2022/05/69znWbBWIe0vLoiHdMLzpDfXAilQ661p5wygXOPN-450x450.jpeg,"₦2,294,250.00",https://farmpays.com/product/oil-press-6yl-100/
Neem Cake (Orga...,https://farmpays.com/wp-content/uploads/2022/05/Neem_Cake_2048x_2x-removebg-preview-450x450.png,"₦53,750.00",https://farmpays.com/product/wacot-npk-15-15-15-50kg/
Mango Seedling ...,https://farmpays.com/wp-content/uploads/2022/05/DSC_0683-scaled-1-450x450.jpg,"₦11,970.00",https://farmpays.com/product/vision-sprayer-16litrs/
Magnesium Sulph...,https://farmpays.com/wp-content/uploads/2022/05/e3bef0ab-e6ac-4ce4-a1f2-24e98960dca1-1-450x450.jpg,"₦7,000.00",https://farmpays.com/product/technisem-uc82b-100grms/
Oil Press 6yl-1...,https://farmpays.com/wp-content/uploads/2022/04/6yl-100-Screw-Oil-Press-removebg-preview-450x450.png,"₦16,000.00",https://farmpays.com/product/tecamin-flower-1ltr/
WACOT NPK 15 15...,https://farmpays.com/wp-content/uploads/2022/03/75a8d31d408c4b3493b2547dcae9d3ba_1611856831382-removebg-preview-433x450.png,"₦11,000.00",https://farmpays.com/product/sygenta-gloria-star-25grms/
VISION SPRAYER ...,https://farmpays.com/wp-content/uploads/2022/03/1-2-450x450.jpg,"₦21,000.00",https://farmpays.com/product/ruthabena-sprayer-16lit/
TECHNISEM UC82B...,https://farmpays.com/wp-content/uploads/2022/03/IMG-20200409-WA0007-600x1200-1-450x450.jpg,"₦3,750.00",https://farmpays.com/product/qrop-potassium/
TECAMIN FLOWER ...,https://farmpays.com/wp-content/uploads/2022/03/admin-ajax__2_-removebg-preview-1.png,"₦69,000.00",https://farmpays.com/product/potassium-nitrate-25kg/
SYGENTA GLORIA ...,https://farmpays.com/wp-content/uploads/2022/03/gloria-star-f1-450x450.jpg,"₦8,000.00",https://farmpays.com/product/nwura-wura-1ltr/
RUTHABENA SPRAY...,https://farmpays.com/wp-content/uploads/2022/03/175502_1642659569.jpg,"₦114,712.50",https://farmpays.com/product/motorised-power-sprayer-20ltrs/
QROP POTASSIUM,https://farmpays.com/wp-content/uploads/2022/03/742423840cf64ea8bba742352331c14e_1605004329775-removebg-preview-450x450.png,"₦5,500.00",https://farmpays.com/product/monarch-seed-cucumber-pointset/
POTASSIUM NITRA...,https://farmpays.com/wp-content/uploads/2022/03/IMG_20210812_112933_105-removebg-preview-1-433x450.png,"₦65,625.00",https://farmpays.com/product/mkp-25kg/
NWURA WURA 1LTR,https://farmpays.com/wp-content/uploads/2022/03/New-Project-1-5-450x450.jpg,"₦2,125.00",https://farmpays.com/product/microforce-250ml/
MOTORISED POWER...,https://farmpays.com/wp-content/uploads/2022/03/109790_1613822425-450x450.jpg,"₦56,250.00",https://farmpays.com/product/maxi-calmag/
MONARCH SEED CU...,https://farmpays.com/wp-content/uploads/2022/03/192838_1644001228-450x450.jpg,"₦48,000.00",https://farmpays.com/product/maxi-calci-n-25kg/
MAXI MKP 25KG,https://farmpays.com/wp-content/uploads/2022/03/Maxi-MKP-432x450.png,"₦3,000.00",https://farmpays.com/product/lemon-seedling/
MICROFORCE 250M...,https://farmpays.com/wp-content/uploads/2022/03/download-25.jpg,"₦11,900.00",https://farmpays.com/product/knapsack-sprayer/
MAXI CALMAG,https://farmpays.com/wp-content/uploads/2022/03/WhatsApp-Image-2020-09-10-at-11.14.35-1152x1536-1-450x450.jpeg,"₦120,927.92",https://farmpays.com/product/motorized-sprayer-knapsack/
MAXI CALCI N 25...,https://farmpays.com/wp-content/uploads/2022/03/IMG_20210812_112933_105-removebg-preview-433x450.png,"₦3,900,000.00",https://farmpays.com/product/manure-scraper-3-blades/
Lemon Seedling,https://farmpays.com/wp-content/uploads/2022/03/lemon-seedlings-1024x640-1-450x450.jpg,"₦104,737.50",https://farmpays.com/product/motorized-sprayer-machine-20l-capacity/
Knapsack Spraye...,https://farmpays.com/wp-content/uploads/2022/02/knacksack-sprayer-450x450.png,"₦34,912.50",https://farmpays.com/product/electric-hand-sprayers/
Motorized Spray...,https://farmpays.com/wp-content/uploads/2022/02/Motorize-Sprayer-450x450.jpg,"₦2,194,500.00",https://farmpays.com/product/manure-dryer/
Manure Scraper ...,https://farmpays.com/wp-content/uploads/2021/11/download-17.jpg,"₦104,737.50",https://farmpays.com/product/plastic-mulch-film-reflective-films-silver-black/
Motorized Spray...,https://farmpays.com/wp-content/uploads/2021/11/download-2023-02-09T123150.607.jpg,"₦22,100.00",https://farmpays.com/product/16l-knapsack-sprayer/
Electric Hand S...,https://farmpays.com/wp-content/uploads/2021/11/1-1-1.jpg,"₦7,500.00",https://farmpays.com/product/king-humus-plus-100g-sachets/
Manure Dryer (E...,https://farmpays.com/wp-content/uploads/2021/10/download-2023-02-11T160212.165.jpg,"₦2,500.00",https://farmpays.com/product/hexacal-100ml/
Plastic Mulch F...,https://farmpays.com/wp-content/uploads/2021/03/8-1-450x375.jpeg,"₦7,500.00",https://farmpays.com/product/glyphotex/
16l knapsack sp...,https://farmpays.com/wp-content/uploads/2021/03/red-knapsack-removebg-preview-450x408.png,"₦4,000.00",https://farmpays.com/product/forceup-non-selective/
King Humus Plus...,https://farmpays.com/wp-content/uploads/2021/03/king-humus-farmpays.png,"₦9,500.00",https://farmpays.com/product/foliar-plus-1ltr/
HEXACAL 100ML,https://farmpays.com/wp-content/uploads/2021/02/FARMPAYS-Hexacal-1-scaled-600x603-1-450x450.jpg,₦900.00,https://farmpays.com/product/high-quality-cassava-stems/
Glyphotex,https://farmpays.com/wp-content/uploads/2021/02/Agromint-Glyphotex-1-scaled-1-450x450.jpg,"₦125,000.00",https://farmpays.com/product/land-clearing-per-hectare/?attribute_defensive=Soft
FORCEUP (Non-Se...,https://farmpays.com/wp-content/uploads/2021/02/forceup-1-450x450.jpg,"₦165,000.00",https://farmpays.com/product/land-clearing-per-hectare/?attribute_defensive=Hard
FOLIAR PLUS 1LT...,https://farmpays.com/wp-content/uploads/2021/02/farmpays-450x450.png,"₦92,500.00",https://farmpays.com/product/maxi-mkp-monopotassium-phosphate-fertilizer-25kg/
High Quality Ca...,https://farmpays.com/wp-content/uploads/2021/02/AnyConv.com__download-28.jpg,"₦5,000.00",https://farmpays.com/product/sweet-pepper-seeds-superbell-f1-continental-seeds/
Land Clearing P...,https://farmpays.com/wp-content/uploads/2021/02/1589351046uatpz-land-clearing-land-grading-land-leveler-450x450.jpg,"₦3,500.00",https://farmpays.com/product/continental-seed-lettuce-10grm/
Land Clearing P...,https://farmpays.com/wp-content/uploads/2021/02/1589351046uatpz-land-clearing-land-grading-land-leveler-450x450.jpg,"₦16,000.00",https://farmpays.com/product/continenta-maxim-10grm-tomato/?attribute_size=10g
Maxi MKP,https://farmpays.com/wp-content/uploads/2020/12/download-2023-09-25T142536.837.jpg,"₦14,000.00",https://farmpays.com/product/continenta-maxim-10grm-tomato/?attribute_size=5g
Sweet Pepper Se...,https://farmpays.com/wp-content/uploads/2020/12/02f00092-2815-4850-ac2c-708eda088fec-450x450.jpg,"₦3,500.00",https://farmpays.com/product/ashley-cucumber-seeds-continental-seeds/
